X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
154,Pradera,11.6,0.6,1.16,110,2.6,19 G,273596.0,4927405.0
155,Bosque,10.3,,0.69,80,2.4,19 G,282361.2,4925983.1
155,Pradera,7.6,,0.88,95,2.7,19 G,282197.1,4926014.0
156,Pradera,6.0,,0.92,110,2.6,19 G,276531.0,4922288.0
156,Bosque,6.4,,0.87,110,2.5,19 G,276632.0,4922153.0
157,Bosque ,9.0,0.8,1.08,85,2.8,18 G,725778.2,4924345.2
157,Pradera,6.0,0.8,1.19,90,2.7,18 G,725832.9,4924259.7
157,SN,8.8,0.6,1.34,110,2.0,18 G,725773.6,4924363.7
158,Bosque,4.5,0.9,1.21,91,2.5,18 G,718297.0,4925606.0
158,Pradera,8.2,0.7,1.15,110,2.9,18 G,719082.0,4926383.0
159,Pradera,7.1,0.9,1.10,94,2.5,18 G,712971.0,4920221.0
159,Bosque,10.0,0.8,1.10,110,2.3,18 G,712338.0,4919522.0
159,Matorral,9.9,0.8,1.39,96,2.3,18 G,712590.0,4919855.0
160,Pradera,4.5,1.1,0.85,88,2.5,18 G,705545.0,4916789.0
160,Matorral,13.8,0.7,1.00,94,2.2,18 G,704941.7,4917441.9
161,Pradera,2.9,1.3,1.25,90,2.7,18 G,728094.0,4917788.0
161,Bosque,4.0,0.7,1.05,110,2.4,18 G,727966.0,4917433.0
163,Pradera,8.5,0.5,1.80,110,2.3,19 G,271872.0,4920220.0
163,SN,4.2,0.8,0.80,110,2.3,19 G,271964.0,4919976.0
163,Bosque,6.6,0.7,0.88,110,2.5,19 G,272230.0,4919615.0
164,Pradera,8.4,,0.79,100,2.6,19 G,280933.0,4912689.0
164,Bosque,12.3,,0.82,110,2.3,19 G,280964.0,4912717.0
165,SN,3.9,,0.87,95,2.6,19 G,290481.0,4914033.0
165,Pradera,2.6,,1.19,110,2.7,19 G,291391.0,4912550.0
166,Bosque,4.1,0.8,1.03,110,2.6,19 G,284312.0,4919188.0
166,Cultivo,6.3,0.8,0.96,110,2.7,19 G,281652.0,4919832.0
167,Pradera,1.8,,1.07,110,2.6,19 G,280584.3,4905512.1
167,SN,7.0,,0.75,110,2.3,19 G,280084.0,4906075.0
167,Bosque,8.4,,0.57,110,2.4,19 G,280506.0,4905530.0
168,Pradera,1.3,,1.14,100,2.3,18 G,730386.0,4894154.0
168,Bosque,1.8,,1.08,45,2.2,18 G,730057.8,4894079.0
169,Bosque,4.1,,1.00,110,2.7,18 G,725898.0,4889798.0
169,Pradera,4.3,,1.06,110,2.7,18 G,725804.0,4889803.0
171,Pradera,2.8,,1.03,110,2.8,18 G,719056.0,4887587.7
171,Bosque,7.7,,0.97,110,2.5,18 G,718874.5,4887455.3
172,Pradera,7.6,,0.65,110,2.7,18 G,728975.0,4880574.0
173,SN,2.2,,0.99,51,2.6,19 G,273784.0,4873932.0
173,Pradera,2.1,,0.88,65,2.8,19 G,273710.8,4874050.3
174,Pradera,2.0,,0.89,86,2.8,19 G,272953.0,4870735.0
175,SN,2.4,,0.86,75,2.7,19 G,281168.0,4869307.0
178,Pradera,4.8,,1.04,110,2.8,18 G,723998.0,4875014.3
178,Bosque,5.4,,0.89,110,2.4,18 G,723840.0,4875098.0
179,Pradera,5.4,,1.11,98,2.8,18 G,711108.0,4884537.0
179,Bosque,6.4,,0.59,95,2.7,18 G,711335.0,4884853.0
180,SN,4.5,,0.82,110,2.0,18 G,703473.0,4884804.0
180,Pradera,1.6,,1.15,110,3.0,18 G,704529.0,4884870.0
180,Bosque,3.8,,0.78,110,3.0,19 G,704210.0,4884876.0
181,Bosque,4.6,,1.02,110,2.6,18 G,696892.0,4887909.0
181,Matorral,1.7,,1.08,60,2.8,18 G,696949.3,4887922.0
183,Bosque,4.0,,1.19,110,3.0,18 G,678421.0,4884606.0
184,Bosque,7.0,,0.85,110,2.4,18 G,670252.0,4882143.0
185,Pradera ,3.8,,0.90,90,2.8,18 G,669538.7,4874407.6
185,Bosque,4.1,,1.00,110,2.5,18 G,669565.0,4874420.0
186,Bosque,2.4,,0.86,51,2.5,18 G,670502.0,4866203.0
186,Pradera,1.1,,0.77,90,2.6,18 G,670746.0,4865927.5
186,SN,7.3,,0.91,110,2.3,18 G,670108.8,4866505.2
187,Pradera,13.5,,0.83,80,2.4,18 G,674017.0,4860725.4
187,Bosque,12.3,,0.91,98,2.5,18 G,674156.0,4860629.0
187,SN,2.6,,0.83,110,2.3,18 G,673752.0,4860948.0
188,Bosque,2.6,,0.81,57,2.4,18 G,676704.2,4854032.9
188,Pradera,3.0,,1.10,110,2.5,18 G,676574.1,4853583.8
189,Pradera,11.5,,0.83,86,2.5,18 G,679418.4,4855399.2
189,Bosque,5.1,,0.73,110,2.5,18 G,679144.0,4855259.0
192,Bosque,13.8,,0.76,95,2.5,18 G,681112.0,4846459.0
192,Pradera,7.1,,0.49,34,2.7,18 G,681069.0,4846453.0
192,SN,6.5,,1.49,110,2.6,18 G,681069.0,4846453.0
193,Pradera,2.0,,1.08,110,2.9,18 G,684528.0,4838008.3
193,Bosque,13.6,,2.01,110,2.5,18 G,684631.0,4838078.7
195,Pradera,13.1,0.6,1.33,90,2.9,18 G,670542.0,4854381.0
195,Bosque,1.3,0.4,1.27,110,2.7,18 G,673341.0,4853796.0
196,Pradera,5.5,0.9,1.20,110,2.9,18 G,675185.0,4843092.0
196,Bosque,17.1,0.3,1.68,110,2.1,18 G,675107.0,4843089.0
197,Pradera,4.3,1.1,1.33,110,3.0,18 G,676013.0,4834679.0
197,Bosque,8.5,0.4,1.14,27,2.2,18 G,674827.0,4835335.0
198,SN,21.1,0.1,0.82,110,2.0,18 G,666907.0,4832145.0
198,Bosque,2.3,0.9,1.32,110,2.7,18 G,664792.0,4833382.0
199,Bosque,7.4,0.8,0.93,40,2.5,18 G,676613.0,4825445.0
200,Bosque,2.5,1.1,1.24,110,2.6,18 G,663881.0,4821285.0
200,Plantación,1.2,1.4,1.48,24,2.8,18 G,664036.0,4821713.0
201,Matorral,6.7,0.7,0.99,110,3.0,18 G,667079.0,4815003.0
202,Matorral,9.3,0.6,1.20,45,2.2,18 G,668522.0,4804501.0
203,Plantación,8.4,0.7,0.97,95,2.7,18 G,676274.0,4809499.0
204,Pradera,10.0,0.6,1.06,110,2.7,18 G,691568.0,4813555.0
204,Plantación,3.6,0.7,0.94,83,2.6,18 G,681744.0,4813852.0
205,Bosque,5.8,0.6,1.27,83,2.6,18 G,690203.0,4815513.0
205,Plantación,7.9,0.6,1.12,53,2.6,18 G,690220.0,4815805.0
206,SN,7.6,0.7,1.20,47,2.8,18 G,690272.0,4822168.0
206,Plantación,6.6,0.7,1.18,39,2.6,18 G,690688.0,4821867.0
207,Bosque,8.0,0.5,1.39,63,2.4,18 G,693157.0,4819244.0
207,Pradera,8.4,0.6,1.30,53,2.8,18 G,693281.0,4818931.0
208,Bosque,5.6,0.6,1.02,95,2.7,18 G,696401.0,4825386.0
208,Pradera,10.5,0.9,0.88,100,3.0,18 G,195184.0,4824608.0
209,Cultivo,2.4,1.0,1.31,84,2.5,18 G,713002.0,4837927.0
209,Matorral,2.5,1.3,1.07,28,2.9,18 G,713502.0,4839751.0
210,SN,6.4,1.1,1.19,48,2.8,18 G,717893.0,4837858.0
211,matorral,2.7,1.1,0.87,110,2.9,19 G,270505.0,4839183.0
212,Cultivo,3.0,1.0,1.28,82,2.9,19 G,281610.0,4847188.0
212,Matorral,1.0,1.0,-1.63,77,2.7,19 G,281668.0,4847192.0
213,Matorral,1.7,1.0,1.36,50,2.9,19 G,289095.0,4842150.0
213,Cultivo,2.9,1.2,0.65,89,3.0,19 G,207145.0,4841755.0
214,Matorral,1.0,1.5,1.41,110,2.2,19 G,292353.0,4842756.0
214,Pradera,2.5,1.3,0.92,110,2.8,19 G,293544.0,4842616.0
216,SN,2.2,1.1,1.18,39,2.7,19 G,290193.0,4820412.0
217,SN,20.4,0.2,0.84,84,2.2,19 G,281160.0,4814163.0
217,SN,3.0,1.3,1.35,36,2.9,19 G,201159.0,4814105.0
218,SN,5.7,0.5,1.19,77,2.1,19 G,272193.0,4811012.0
218,SN,7.4,0.8,1.44,43,2.7,19 G,272280.0,4810929.0
219,SN,4.8,0.6,1.09,21,2.4,19 G,271468.0,4809886.0
